2026-04-17T05:33:37+00:00 | _ | setup | ok | system_prompt_chars=4781 db=/Users/mattpacione/declarative-build/Dank-EXP-02.declarative.db
2026-04-17T05:34:00+00:00 | 06-spa-minimal | parse | ok | components=5 in_tokens=1470 out_tokens=553
2026-04-17T05:34:00+00:00 | 06-spa-minimal | compose | start | components=5
2026-04-17T05:34:01+00:00 | 06-spa-minimal | compose | ok | elements=25 script_chars=13795 warnings=23
2026-04-17T05:34:01+00:00 | 06-spa-minimal | render | start | 
2026-04-17T05:34:01+00:00 | 06-spa-minimal | render | fail | errors=0 kinds=[]
2026-04-17T05:34:01+00:00 | 07-search | parse | start | len=15
2026-04-17T05:34:04+00:00 | 07-search | parse | ok | components=4 in_tokens=1462 out_tokens=634
2026-04-17T05:34:04+00:00 | 07-search | compose | start | components=4
2026-04-17T05:34:04+00:00 | 07-search | compose | ok | elements=29 script_chars=15073 warnings=28
2026-04-17T05:34:04+00:00 | 07-search | render | start | 
2026-04-17T05:34:04+00:00 | 07-search | render | fail | errors=0 kinds=[]
2026-04-17T05:34:04+00:00 | 08-explicit-structure | parse | start | len=148
2026-04-17T05:34:06+00:00 | 08-explicit-structure | parse | ok | components=3 in_tokens=1495 out_tokens=252
2026-04-17T05:34:06+00:00 | 08-explicit-structure | compose | start | components=3
2026-04-17T05:34:06+00:00 | 08-explicit-structure | compose | ok | elements=14 script_chars=10903 warnings=11
2026-04-17T05:34:06+00:00 | 08-explicit-structure | render | start | 
2026-04-17T05:34:06+00:00 | 08-explicit-structure | render | fail | errors=0 kinds=[]
2026-04-17T05:34:06+00:00 | 09-drawer-nav | parse | start | len=30
2026-04-17T05:34:09+00:00 | 09-drawer-nav | parse | ok | components=1 in_tokens=1468 out_tokens=496
2026-04-17T05:34:09+00:00 | 09-drawer-nav | compose | start | components=1
2026-04-17T05:34:09+00:00 | 09-drawer-nav | compose | ok | elements=23 script_chars=13131 warnings=22
2026-04-17T05:34:09+00:00 | 09-drawer-nav | render | start | 
2026-04-17T05:34:09+00:00 | 09-drawer-nav | render | fail | errors=0 kinds=[]
2026-04-17T05:34:09+00:00 | 10-onboarding-carousel | parse | start | len=86
2026-04-17T05:34:13+00:00 | 10-onboarding-carousel | parse | ok | components=6 in_tokens=1480 out_tokens=567
2026-04-17T05:34:13+00:00 | 10-onboarding-carousel | compose | start | components=6
2026-04-17T05:34:13+00:00 | 10-onboarding-carousel | compose | ok | elements=25 script_chars=14886 warnings=21
2026-04-17T05:34:13+00:00 | 10-onboarding-carousel | render | start | 
2026-04-17T05:34:13+00:00 | 10-onboarding-carousel | render | fail | errors=0 kinds=[]
2026-04-17T05:34:13+00:00 | 11-vague | parse | start | len=14
2026-04-17T05:34:17+00:00 | 11-vague | parse | ok | components=5 in_tokens=1461 out_tokens=744
2026-04-17T05:34:17+00:00 | 11-vague | compose | start | components=5
2026-04-17T05:34:17+00:00 | 11-vague | compose | ok | elements=40 script_chars=20586 warnings=33
2026-04-17T05:34:17+00:00 | 11-vague | render | start | 
2026-04-17T05:34:17+00:00 | 11-vague | render | fail | errors=0 kinds=[]
2026-04-17T05:34:17+00:00 | 12-round-trip-test | parse | start | len=44
2026-04-17T05:34:19+00:00 | 12-round-trip-test | parse | ok | components=0 in_tokens=1472 out_tokens=92
2026-04-17T05:34:19+00:00 | 12-round-trip-test | compose | start | components=0
2026-04-17T05:34:19+00:00 | 12-round-trip-test | compose | ok | elements=1 script_chars=1091 warnings=0
2026-04-17T05:34:19+00:00 | 12-round-trip-test | render | start | 
2026-04-17T05:34:19+00:00 | 12-round-trip-test | render | fail | errors=0 kinds=[]
2026-04-17T05:34:19+00:00 | _ | done | ok | count=12
2026-04-17T05:34:29+00:00 | 01-login | walk | start | 
2026-04-17T05:34:29+00:00 | 01-login | walk | ok | eids=15 root=5767:6266
2026-04-17T05:34:29+00:00 | 02-profile-settings | walk | start | 
2026-04-17T05:34:29+00:00 | 02-profile-settings | walk | ok | eids=23 root=5767:6287
2026-04-17T05:34:29+00:00 | 03-meme-feed | walk | start | 
2026-04-17T05:34:31+00:00 | 03-meme-feed | walk | ok | eids=19 root=5767:6318
2026-04-17T05:34:31+00:00 | 04-dashboard | walk | start | 
2026-04-17T05:34:31+00:00 | 04-dashboard | walk | ok | eids=38 root=5767:6379
2026-04-17T05:34:31+00:00 | 05-paywall | walk | start | 
2026-04-17T05:34:31+00:00 | 05-paywall | walk | ok | eids=50 root=5767:6425
2026-04-17T05:34:31+00:00 | 06-spa-minimal | walk | start | 
2026-04-17T05:34:31+00:00 | 06-spa-minimal | walk | ok | eids=25 root=5767:6496
2026-04-17T05:34:31+00:00 | 07-search | walk | start | 
2026-04-17T05:34:31+00:00 | 07-search | walk | ok | eids=29 root=5767:6529
2026-04-17T05:34:31+00:00 | 08-explicit-structure | walk | start | 
2026-04-17T05:34:31+00:00 | 08-explicit-structure | walk | ok | eids=14 root=5767:6565
2026-04-17T05:34:31+00:00 | 09-drawer-nav | walk | start | 
2026-04-17T05:34:31+00:00 | 09-drawer-nav | walk | ok | eids=23 root=5767:6583
2026-04-17T05:34:31+00:00 | 10-onboarding-carousel | walk | start | 
2026-04-17T05:34:31+00:00 | 10-onboarding-carousel | walk | ok | eids=25 root=5767:6613
2026-04-17T05:34:31+00:00 | 11-vague | walk | start | 
2026-04-17T05:34:32+00:00 | 11-vague | walk | ok | eids=40 root=5767:6652
2026-04-17T05:34:32+00:00 | 12-round-trip-test | walk | start | 
2026-04-17T05:34:32+00:00 | 12-round-trip-test | walk | ok | eids=1 root=5767:6702
2026-04-17T05:34:32+00:00 | _ | finalize | ok | count=12
